time,x1,x2,x3,x4,u,tracking_error,control_effort,chattering_metric
2.4,-2.3639973673743064,2.1604716783269655,-9.523351860663224,1.894907679947282,-2.8456094749994643,10.224530659317644,2.8456094749994643,0.5395866777002419
2.41,-2.3450482905748338,2.1440645707742587,-9.517901493077833,1.8818672871239595,-3.1835178040747802,10.209218270125186,3.1835178040747802,0.48489547571144687
2.42,-2.326229617703594,2.1294901941256286,-9.51356815332685,1.8666568467585782,-3.5870129724889903,10.19502131006621,3.5870129724889903,0.45131955297416276
2.43,-2.307563049236008,2.1167574456258307,-9.510460422979492,1.8489474124367367,-4.068656144340281,10.181992599723667,4.068656144340281,0.438085909940096
2.44,-2.2890735751116407,2.1058701647772318,-9.508679655139817,1.828345786084038,-4.638521053143696,10.170171290629003,4.638521053143696,0.4441252299827643
2.45,-2.2707901172508005,2.0968267634076994,-9.508319456862214,1.8044074167817785,-5.304075663505383,10.159586372083677,5.304075663505383,0.4680622209087983
2.46,-2.2527460430829827,2.089619930325973,-9.509465230788907,1.7766498455876603,-6.0701322950865295,10.150260579770912,6.0701322950865295,0.5082277249642603
2.47,-2.234979544627106,2.0842363986867425,-9.512193767464732,1.744566353459437,-6.938862020625993,10.142214598495237,6.938862020625993,0.5626886747542399
2.48,-2.217533881092512,2.080656765874593,-9.51657288094751,1.7076394911148478,-7.909868309544818,10.13547143063279,7.909868309544818,0.6292906378453438
2.49,-2.2004574861813633,2.0788553582207165,-9.52266108244539,1.6653541952350686,-8.980315228941738,10.130060781436686,8.980315228941738,0.5946044830721307
2.5,-2.1838039442290125,2.0788001358949306,-9.530507289507407,1.6172102188947266,-10.145106583470255,10.126023294427005,10.145106583470255,0.6816339726602526
2.5100000000000002,-2.1676318420400653,2.0804526365274625,-9.540150571439147,1.5627336218421088,-11.397113645849192,10.123414457287941,11.397113645849192,0.773509864377275
2.52,-2.1520045058216444,2.083767959152289,-9.551619934746075,1.5014870773038964,-12.727450077435437,10.122307993823126,12.727450077435437,0.8677889637066891
2.5300000000000002,-2.1369896350486055,2.0886947925789006,-9.564934155149922,1.4330787580447462,-14.125792823542408,10.122798563439066,14.125792823542408,0.9620882147883507
2.54,-2.1226588474681582,2.0951754939808835,-9.580101664726236,1.3571695693973973,-15.58074690157454,10.125003608883386,15.58074690157454,1.0541413078220792
2.5500000000000003,-2.1090871517741845,2.103146224087809,-9.597120503669336,1.2734785062899,-17.080249993759416,10.129064227341361,17.080249993759416,1.141852359785462
2.56,-2.0963523667112853,2.1125371447179324,-9.615978345877194,1.1817859307858989,-18.612009752732646,10.135144989974815,18.612009752732646,1.2233464109636543
2.57,-2.0845345074034265,2.123272682438192,-9.636652605839734,1.081934601468765,-20.0,10.14343269924127,20.0,1.297016414678517
2.58,-2.073715161388739,2.135271858955972,-9.65911063121409,0.9747326480834511,-20.0,10.154220915633836,20.0,1.3433479656061313
2.59,-2.0639678349079045,2.1484547304107506,-9.683300137333545,0.8678474195205828,-20.0,10.168347045877768,20.0,1.2244094190064736
2.6,-2.0552893607126985,2.1627894769829297,-9.709077153690846,0.7612868052963666,-20.0,10.185657045779953,20.0,1.0949881573921938
2.61,-2.047676492659735,2.1782428722314355,-9.736291686294674,0.6550552293255659,-20.0,10.205988153192022,20.0,0.955876261572312
2.62,-2.041125940366479,2.1947805243029936,-9.764789298945285,0.5491534148339863,-20.0,10.229170845191552,20.0,0.8080611025071737
2.63,-2.035634406218139,2.2123670597580163,-9.79441268881245,0.4435782042504356,-20.0,10.25503081345628,20.0,0.6526896862730658
2.64,-2.0311986241756346,2.2309662428857173,-9.825003226064105,0.3383224441493517,-20.0,10.283390914291543,20.0,0.49102812204727325
2.65,-2.0278153997341413,2.2505410272086235,-9.856402428375487,0.23337494383540403,-20.0,10.314073051178402,20.0,0.32441666736006486
2.66,-2.025481650295787,2.271053539988992,-9.88845334296806,0.1287205140790146,-20.0,10.346899950419084,20.0,0.1542211385852615
2.67,-2.024194445154997,2.292465004624334,-9.921001811220869,0.024340089919836647,-20.0,10.381696794235934,20.0,0.0
2.68,-2.0239510442557984,2.3147356095268883,-9.95389759370265,-0.0797890615074589,-20.0,10.418292680272117,20.0,0.0
2.69,-2.024748934870873,2.3378243351248935,-9.986995336566213,-0.1836930503242521,-20.0,10.456521881605548,20.0,0.0
2.7,-2.0265858653741153,2.3616887527713297,-10.020155363561814,-0.2874009957690267,-20.0,10.496224886928937,20.0,0.0
2.71,-2.0294598753318054,2.3862848104612535,-10.053244281461822,-0.3909445887926495,-20.0,10.537249206338007,20.0,0.0
2.72,-2.0333693212197317,2.4115666203117745,-10.086135390496086,-0.4943575960473007,-20.0,10.579449934134896,20.0,0.0
2.73,-2.0383128971802047,2.437486261825658,-10.118708895552523,-0.5976753177308194,-20.0,10.622690066163013,20.0,0.0
2.74,-2.0442896503575128,2.4639936132093143,-10.150851918469101,-0.7009340128013758,-20.0,10.666840575422734,20.0,0.0
2.75,-2.0512989904855266,2.491036220684308,-10.182458316757238,-0.8041703053436167,-20.0,10.711780256036958,20.0,0.0
2.7600000000000002,-2.059340693538963,2.518559213088436,-10.21342831950826,-0.9074205853950972,-20.0,10.757395351962774,20.0,0.0
2.77,-2.0684148993929137,2.546505266377307,-10.243667996914992,-1.0107204164598331,-20.0,10.803578993046106,20.0,0.0
2.7800000000000002,-2.078522103557512,2.574814620147125,-10.27308858557638,-1.1141039604354421,-20.0,10.850230466900607,20.0,0.0
2.79,-2.089663143161866,2.6034251461838744,-10.301605697261975,-1.2176034289870088,-20.0,10.897254360425517,20.0,0.0
2.8000000000000003,-2.1018391774517364,2.6322724674113327,-10.329138443769226,-1.321248568741079,-20.0,10.944559609299702,20.0,0.0
2.81,-2.1150516631391474,2.6612901244931892,-10.3556085145739,-1.4250661862427159,-20.0,10.992058497240654,20.0,0.0
2.82,-2.1293023250015746,2.6904097867073746,-10.380939246838789,-1.529079717556455,-20.0,11.039665648961853,20.0,0.0
2.83,-2.144593122177139,2.7195615034642957,-10.4050547287475,-1.6333088467654426,-20.0,11.087297061410748,20.0,0.0
2.84,-2.1609262106447935,2.7486739928616815,-10.42787897688344,-1.7377691774234243,-20.0,11.134869216897714,20.0,0.0
2.85,-2.1783039024190276,2.7776749638205915,-10.449335226386308,-1.8424719611642577,-20.0,11.182298319084676,20.0,0.0
